Team,WINS,FGA,FGM,FGAOP,FGMOP,TFGA,TFGM,TFGAOP,TFGMOP,OFFREB,TOTREB,OFFREBOP,TOTREBOP,ASST,ASSTOP,STL,STLOP,BLK,BLKOP
Atlanta Hawks,35,6434,2859,6908,3015,1141,402,1243,446,937,3495,1073,3493,1679,1771,611,738,473,409
Boston Celtics,44,6509,2700,6450,2804,2155,719,1400,463,849,3320,937,3687,1575,1824,720,617,303,367
Chicago Bulls,30,6714,2991,6817,2991,997,349,1333,431,985,3526,1117,3689,1782,1949,605,768,461,413
Cleveland Cavaliers,17,6746,2850,6786,3072,896,293,1197,428,1118,3660,932,3423,1712,1972,636,802,521,494
Dallas Mavericks,60,6982,3161,6687,2926,1668,636,1401,477,912,3456,1045,3727,1837,1781,665,547,449,322
Denver Nuggets,17,6544,2689,6087,2696,824,229,1134,420,1112,3475,861,3304,1737,1764,712,742,422,538
Detroit Pistons,50,6277,2700,6269,2744,1488,533,839,289,883,3328,859,3387,1620,1501,556,568,468,355
Golden State Warriors,38,6941,3061,7175,3240,1235,425,1177,438,1284,3830,1204,3592,1712,1934,594,710,506,491
Houston Rockets,43,6461,2840,6681,2891,1267,439,1113,386,1024,3588,979,3332,1506,1683,594,663,493,381
Indiana Pacers,48,6608,2911,6690,2860,1119,379,1197,407,1004,3626,1006,3464,1910,1696,696,620,443,513
Los Angeles Clippers,27,6490,2835,6787,3035,1178,390,1244,454,1008,3470,1046,3506,1605,1840,574,652,461,418
Los Angeles Lakers,50,6856,3091,6725,2976,1367,486,1113,465,1078,3632,957,3452,1909,1753,639,644,470,311
Memphis Grizzlies,28,6743,3049,7008,3224,1279,467,1188,431,943,3409,1126,3681,1892,1991,651,651,500,430
Miami Heat,25,6517,2688,6208,2713,1100,348,1149,406,948,3412,872,3459,1501,1482,592,592,324,436
Milwaukee Bucks,42,6670,3045,6641,3043,1526,585,1278,479,876,3243,1021,3562,1823,1892,622,622,344,333
Minnesota Timberwolves,51,6809,3172,6873,3005,804,296,1362,472,959,3573,974,3418,2070,1871,553,553,433,405
New Jersey Nets,49,6585,2906,6461,2757,1041,346,1185,425,991,3519,932,3393,1887,1607,717,717,374,423
New Orleans Hornets,47,6695,2914,6518,2857,1075,404,1001,338,1097,3572,909,3277,1807,1630,656,656,394,427
New York Knicks,37,6725,2967,6478,2961,1582,606,1053,358,842,3218,935,3548,1800,1732,579,627,255,308
Orlando Magic,42,6763,2947,6602,3007,1590,568,1590,405,958,3350,970,3566,1676,1837,696,643,300,411
Philadelphia 76ers,48,6640,2975,6363,2876,787,245,1278,453,1042,3457,908,3308,1771,1809,844,639,284,521
Phoenix Suns,44,6776,3005,6658,2913,1149,394,1361,436,1049,3489,1031,3518,1719,1824,665,639,404,453
Portland Trail Blazers,50,6491,2987,6540,2942,1150,379,1285,438,992,3370,912,3204,1860,1863,725,683,316,391
Sacremento Kings,59,6990,3242,7125,2991,1288,491,1166,373,900,3651,1145,3759,2034,1759,736,684,457,356
San Antonio Spurs,60,6297,2908,6703,2862,1270,449,1043,354,939,3495,1029,3351,1636,1559,629,665,529,422
Seattle Supersonics,40,6599,2887,6424,2871,1291,456,1371,472,963,3348,938,3400,1775,1703,679,500,295,409
Toronto Raptors,24,6664,2847,6592,3037,1193,409,986,370,1023,3378,976,3577,1583,1729,609,604,392,406
Utah Jazz,47,6189,2894,6346,2751,641,224,1252,437,1021,3402,1011,3131,2103,1601,708,723,467,427
Washington Wizards,37,6394,2816,6507,2877,811,253,1242,449,917,3312,949,3312,1612,1776,621,612,390,358
