COST,PAGES,SOFTCOVER
14,384,1
35,152,0
40,64,0
24.95,80,1
29.95,224,0
29.95,282,0
12.95,304,1
22.95,256,0
22,192,0
12,240,1
24.95,250,0
16.95,212,1
21,224,0
27.5,240,0
13.5,288,1
24.95,320,0
25,304,0
22.95,225,0
14.95,256,1
25,256,0
12.95,352,1
18,192,0
25,320,0
9.99,208,1
16.95,624,1
11.95,144,1
12,192,1
22.95,256,0
17.95,192,0
22.95,304,0
12,224,1
12.95,400,1
29.95,704,0
12,368,1
16.95,688,1
21.95,368,0
22.95,528,0
12,304,1
22.95,376,0
21.95,400,0
23,352,0
14.95,64,0
23.95,352,0
23,384,0
23.95,218,0
21.95,352,0
24.95,352,0
13.95,96,0
23.95,320,0
18.99,280,0
19.99,288,0
25,254,0
25,288,0
12,352,1
14,368,1
39.95,352,0
27.95,476,0
29.95,208,0
35,560,0
35,1200,0
27.5,320,0
27,350,0
19.95,256,1
13,336,1
30,408,0
27.5,256,0
12.95,288,1
14.95,208,0
35,352,0
45,858,0
16,832,1
16,825,1
30,416,0
13.5,320,1
13,288,1
24.95,220,0
24,256,0
24.95,176,0
15,352,1
22.95,288,0
24.95,336,0
13.5,304,1
25,320,0
7.95,144,1
21.95,368,0
25,256,0
15.95,636,1
19.95,224,0
30,544,0
12,256,1
20,208,0
12.95,416,1
12,320,1
8.95,400,1
21.95,275,0
12.5,272,1
14.95,96,0
13,288,1
14,240,1
23.95,208,0
23,320,0
10,80,0
18,912,1
11.99,336,1
13,256,1
16,288,1
17.95,400,1
22.5,224,1
30,608,0
12,240,1
17.95,192,1
19.95,568,1
25,144,1
10,128,1
23.95,256,0
15.95,112,0
12.95,320,1
23,256,0
25,320,0
23,240,0
23,320,0
22.95,288,0
24.95,352,0
35,224,0
25,544,0
11.95,224,1
12.95,272,1
14.95,256,1
30,176,0
19.95,320,0
22,288,0
23,288,0
14,256,1
10,80,1
10.95,416,1
10.95,160,1
19.95,304,0
24.95,450,1
30,544,0
19.95,192,0
18.95,288,0
15,268,1
23,288,0
10.95,200,1
12.95,348,1
22,208,0
22.95,224,0
12.95,64,1
9.95,240,1
22.5,256,0
13.95,352,1
7.95,128,1
14.95,240,1
23,320,0
20.95,224,0
35,240,0
17.95,256,1
11,160,1
24.95,496,0
25,320,0
15,416,1
20,176,0
12.5,336,1
22.95,224,0
11,128,1
10,144,1
7.95,76,1
24.95,96,0
40,184,0
40,192,0
23.95,160,0
10,120,0
24.95,384,0
22.95,304,0
29.95,176,0
15.95,352,1
24.95,384,0
21.95,188,0
11,256,1
18.95,144,0
24.95,192,0
21,240,0
10,144,1
12.95,175,1
19.95,256,0
16,204,0
8.95,120,1
12,64,1
11,192,1
24.95,320,0
13.5,432,1
27.5,608,0
30,448,0
15,464,1
26,304,0
21.95,385,0
22.95,336,0
25,432,0
21.95,320,0
17.95,252,0
12,240,1
23,256,0
17,128,0
20,240,0
14,528,1
23.95,352,0
21,192,0
